Year,City,Host,Country,Medal
1896,Athens,GRE,HUN,Gold
1896,Athens,GRE,AUT,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,GRE,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,HUN,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,AUT,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,USA,Bronze
1896,Athens,GRE,HUN,Bronze
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,GER,Silver
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,GBR,Silver
1896,Athens,GRE,FRA,Bronze
1896,Athens,GRE,AUS,Gold
1896,Athens,GRE,USA,Silver
1896,Athens,GRE,GBR,Bronze
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,USA,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,AUS,Gold
1896,Athens,GRE,HUN,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,USA,Silver
1896,Athens,GRE,USA,Silver
1896,Athens,GRE,USA,Bronze
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,USA,Silver
1896,Athens,GRE,HUN,Bronze
1896,Athens,GRE,GRE,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,USA,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,GRE,Bronze
1896,Athens,GRE,USA,Gold
1896,Athens,GRE,FRA,Silver
1896,Athens,GRE,GBR,Bronze
1896,Athens,GRE,GRE,Gold
1896,Athens,GRE,GER,Silver
1896,Athens,GRE,FRA,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,AUT,Bronze
1896,Athens,GRE,FRA,Gold
1896,Athens,GRE,FRA,Silver
1896,Athens,GRE,AUT,Gold
1896,Athens,GRE,GBR,Silver
1896,Athens,GRE,AUT,Bronze
1896,Athens,GRE,FRA,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,FRA,Bronze
1896,Athens,GRE,FRA,Gold
1896,Athens,GRE,GRE,Silver
1896,Athens,GRE,GRE,Bronze
